OPEID;INSTNM;CITY;STABBR;ZIP;INSTURL;REGION;LOCALE;ADM_RATE;COSTT4_A
224300;Central Michigan University;Mount Pleasant;MI;48859;https://www.cmich.edu;3;32.0;0.6775;23328.0
226100;Mott Community College;Flint;MI;48503-2089;https://www.mcc.edu;3;13.0;;11358.0
817800;Empire Beauty School-Michigan;Grand Rapids;MI;49544;www.empire.edu;3;21.0;;
224600;Cleary University;Howell;MI;48843;www.cleary.edu;3;22.0;0.4774;28353.0
384256;Concordia University-Ann Arbor;Ann Arbor;MI;48105;https://www.cuaa.edu;3;12.0;0.4569;41245.0
224800;Cranbrook Academy of Art;Bloomfield Hills;MI;48304;https://cranbrookart.edu/;3;21.0;;
677100;College for Creative Studies;Detroit;MI;48202;https://www.collegeforcreativestudies.edu;3;11.0;0.4899;54451.0
224900;Davenport University;Grand Rapids;MI;49512-9396;www.davenport.edu;3;21.0;0.8192;27536.0
1082700;David Pressley School of Cosmetology;Royal Oak;MI;48067-3219;davidpressleyschool.com;3;21.0;;
225100;Delta College;University Center;MI;48710;www.delta.edu;3;41.0;;9949.0
3005700;Detroit Business Institute-Downriver;Riverview;MI;48193;www.dbidownriver.edu;3;21.0;;
225400;Michigan State University-College of Law;East Lansing;MI;48824-1300;www.law.msu.edu;3;13.0;;
2060300;MIAT College of Technology;Canton;MI;48188;www.miat.edu;3;21.0;0.9862;29104.0
232300;University of Detroit Mercy;Detroit;MI;48221-3038;www.udmercy.edu;3;11.0;0.6471;50915.0
469202;Dorsey Business Schools-Madison Heights;Madison Heights;MI;48071;www.dorsey.edu;3;21.0;;30825.0
469200;Dorsey Business Schools-Southgate;Southgate;MI;48195;www.dorsey.edu;3;21.0;;31355.0
225900;Eastern Michigan University;Ypsilanti;MI;48197;www.emich.edu;3;21.0;0.4474;22203.0
4055300;Creative Hair School of Cosmetology;Flint;MI;48507;creativehairschool.com;3;21.0;;
226000;Ferris State University;Big Rapids;MI;49307-2251;www.ferris.edu/;3;32.0;0.7416;21896.0
1109800;Flint Institute of Barbering Inc;Flint;MI;48504-4395;www.flintinstituteofbarberinginc.com;3;13.0;0.7895;
226300;Glen Oaks Community College;Centreville;MI;49032-9719;www.glenoaks.edu/;3;42.0;;10085.0
226200;Kettering University;Flint;MI;48504-6214;https://www.kettering.edu/;3;13.0;0.7033;56267.0
226400;Gogebic Community College;Ironwood;MI;49938;www.gogebic.edu;3;41.0;;12839.0
226500;Grace Christian University;Wyoming;MI;49509;www.gracechristian.edu/;3;13.0;0.6411;22013.0
226600;Cornerstone University;Grand Rapids;MI;49525-5897;www.cornerstone.edu;3;12.0;0.6737;38419.0
226700;Grand Rapids Community College;Grand Rapids;MI;49503-3295;https://www.grcc.edu;3;12.0;;12659.0
226800;Grand Valley State University;Allendale;MI;49401-9403;www.gvsu.edu;3;21.0;0.809;22276.0
226900;Great Lakes Christian College;Lansing;MI;48917-1299;www.glcc.edu;3;21.0;;24142.0
227000;Henry Ford College;Dearborn;MI;48128-1495;https://www.hfcc.edu;3;13.0;;9071.0
227300;Hope College;Holland;MI;49422-9000;https://www.hope.edu;3;13.0;0.7363;43717.0
227400;Jackson College;Jackson;MI;49201-8399;www.jccmi.edu;3;41.0;;14297.0
227500;Kalamazoo College;Kalamazoo;MI;49006-3295;www.kzoo.edu;3;13.0;0.7338;57116.0
694900;Kalamazoo Valley Community College;Kalamazoo;MI;49003-4070;https://www.kvcc.edu;3;22.0;;8865.0
227600;Kellogg Community College;Battle Creek;MI;49017-3397;www.kellogg.edu;3;13.0;;12311.0
717100;Kirtland Community College;Roscommon;MI;48653;www.kirtland.edu;3;43.0;;12030.0
2324500;Michigan College of Beauty-Monroe;Monroe;MI;48161;MichiganCollegeBeauty.com;3;23.0;;
